model,status,evaluation_scope,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,false_positive_rate,false_negative_rate,average_inference_ms
traditional,available,independent_test_split,0.9565789473684211,0.9732415902140673,0.9291970802919708,0.9507094846900672,0.9559543896113476,0.9904767472354562,0.9900978928650531,0.020958083832335328,0.0708029197080292,0.361195888150465
bert,available,reference_re_evaluation_not_independent,0.9792763157894737,0.956993006993007,0.9989051094890511,0.9775,0.9791463414634147,0.9991162201145155,0.9990324698390163,0.03682634730538922,0.0010948905109489052,75.54654549342223
